date,cmc_price,cmc_rank
2022-12-22,42.75000000,67
2022-12-23,43.28000000,67
2022-12-24,43.79000000,66
2022-12-25,44.52000000,66
2022-12-26,44.71000000,65
2022-12-27,44.01000000,64
2022-12-28,42.93000000,65
2022-12-29,42.61000000,65
2022-12-30,41.92000000,67
2022-12-31,42.00000000,67
2023-01-01,42.16000000,67
2023-01-02,43.64000000,67
2023-01-03,42.93000000,68
2023-01-04,45.75000000,68
2023-01-05,44.91000000,65
2023-01-06,46.02000000,65
2023-01-07,46.35000000,65
2023-01-08,47.49000000,65
2023-01-09,48.92000000,65
2023-01-10,48.35000000,66
2023-01-11,49.05000000,67
2023-01-12,49.32000000,68
2023-01-13,51.44000000,67
2023-01-14,51.61000000,67
2023-01-15,51.58000000,70
2023-01-16,49.24000000,71
2023-01-17,49.48000000,71
2023-01-18,46.90000000,72
2023-01-19,48.94000000,72
2023-01-20,51.79000000,72
2023-01-21,52.44000000,73
2023-01-22,52.01000000,72
